rates >>>,business $,0.7,medical $,0.21,charity $,0.14,moving $,0.21

SUMMARY

VEHICLE,ODOMETER (START OF YEAR),BUSINESS,COMMUTE,PERSONAL (OTHER),TOTAL DISTANCE,BUSINESS VALUE IN $,PARKING IN $,TOLLS IN $,TOTAL VALUE IN $,MEDICAL,MOVING,CHARITY,UNCLASSIFIED
Ford Edge 2018,0,"=SUMIFS(G12:G35, L12:L35, A6, C12:C35, ""Business"")","=SUMIFS(G12:G35, L12:L35, A6, M12:M35, ""Commute"")","=SUMIFS(G12:G35, L12:L35, A6, C12:C35, ""Personal"") - D6","=SUM(C6, D6, E6, N6)","=PRODUCT(SUMIFS(H12:H35, L12:L35, A6, C12:C35, ""Business""))","=PRODUCT(SUMIFS(I12:I35, L12:L35, A6, C12:C35, ""Business""))","=PRODUCT(SUMIFS(J12:J35, L12:L35, A6, C12:C35, ""Business""))","=SUM(G6, H6, I6)","=SUMIFS(G12:G35, L12:L35, A6, M12:M35, ""*Medical*"")","=SUMIFS(G12:G35, L12:L35, A6, M12:M35, ""Moving"")","=SUMIFS(G12:G35, L12:L35, A6, M12:M35, ""*Charity*"")","=SUMIFS(G12:G35, L12:L35, A6, M12:M35, ""Unclassified"")"
,TOTALS,=SUM(C6:C6),=SUM(D6:D6),=SUM(E6:E6),=SUM(F6:F6),=SUM(G6:G6),=SUM(H6:H6),=SUM(I6:I6),=SUM(J6:J6),=SUM(K6:K6),=SUM(L6:L6),=SUM(M6:M6),=SUM(N6:N6)

DETAILED LOG

START_DATE*,END_DATE*,CATEGORY*,START*,STOP*,RATE,MILES*,MILES_VALUE,PARKING,TOLLS,TOTAL,VEHICLE,PURPOSE,NOTES
08/28/2025 13:21,08/28/2025 16:10,Business,"1386 University Dr, State College, PA, 16801, United States","122 Ithaca Beer Dr, Ithaca, NY, 14850, United States",0.7,174.3,"=ROUND(PRODUCT(F12, G12), 2)",0,0,"=SUM(H12, I12, J12)",Ford Edge 2018,Business,transport supplies to barn house
08/28/2025 16:39,08/28/2025 17:09,Business,"122 Ithaca Beer Dr, Ithaca, NY, 14850, United States","87 W Main St, Trumansburg, NY, 14886, United States",0.7,13.7,"=ROUND(PRODUCT(F13, G13), 2)",0,0,"=SUM(H13, I13, J13)",Ford Edge 2018,Business,Travel to rental property for guest services/maintenance
08/28/2025 17:50,08/28/2025 18:15,Business,"79 W Main St, Trumansburg, NY, 14886, United States","532 W Green St, Ithaca, NY, 14850, United States",0.7,13.7,"=ROUND(PRODUCT(F14, G14), 2)",0,0,"=SUM(H14, I14, J14)",Ford Edge 2018,Business,Travel for rental property business errands
08/28/2025 19:58,08/28/2025 20:10,Business,"602 W Green St, Ithaca, NY, 14850, United States","2300 N Triphammer Rd, Ithaca, NY, 14850, United States",0.7,4.2,"=ROUND(PRODUCT(F15, G15), 2)",0,0,"=SUM(H15, I15, J15)",Ford Edge 2018,Business,Travel to purchase supplies/materials for rental properties
08/28/2025 20:44,08/28/2025 20:50,Business,"2300 N Triphammer Rd, Ithaca, NY, 14850, United States","29 Thornwood Dr, Ithaca, NY, 14850, United States",0.7,1.9,"=ROUND(PRODUCT(F16, G16), 2)",0,0,"=SUM(H16, I16, J16)",Ford Edge 2018,Business,Business travel for short-term rental property management
08/29/2025 07:27,08/29/2025 07:34,Business,"29 Thornwood Dr, Ithaca, NY, 14850, United States","40 Catherwood Rd, Ithaca, NY, 14850, United States",0.7,2.1,"=ROUND(PRODUCT(F17, G17), 2)",0,0,"=SUM(H17, I17, J17)",Ford Edge 2018,Business,Local travel for rental property business services
08/29/2025 07:40,08/29/2025 07:50,Business,"40 Catherwood Rd, Ithaca, NY, 14850, United States","107 1st St, Ithaca, NY, 14850, United States",0.7,4.0,"=ROUND(PRODUCT(F18, G18), 2)",0,0,"=SUM(H18, I18, J18)",Ford Edge 2018,Business,Local travel for rental property business services
08/29/2025 09:56,08/29/2025 09:56,Business,"107 1st St, Ithaca, NY, 14850, United States","118 E Seneca St, Ithaca, NY, Downtown, 14850, United States",0.7,0.9,"=ROUND(PRODUCT(F19, G19), 2)",0,0,"=SUM(H19, I19, J19)",Ford Edge 2018,Business,Business errands for rental property operations
08/29/2025 10:47,08/29/2025 11:11,Business,"118 E Seneca St, Ithaca, NY, Downtown, 14850, United States","79 W Main St, Trumansburg, NY, 14886, United States",0.7,12.0,"=ROUND(PRODUCT(F20, G20), 2)",0,0,"=SUM(H20, I20, J20)",Ford Edge 2018,Business,Travel to rental property for business operations
08/29/2025 16:15,08/29/2025 16:42,Business,"77 W Main St, Trumansburg, NY, 14886, United States","40 Catherwood Rd, Ithaca, NY, 14850, United States",0.7,15.4,"=ROUND(PRODUCT(F21, G21), 2)",0,0,"=SUM(H21, I21, J21)",Ford Edge 2018,Business,Travel from rental property for business errands
08/29/2025 17:08,08/29/2025 17:17,Business,"40 Catherwood Rd, Ithaca, NY, 14850, United States","601 1st St, Ithaca, NY, 14850, United States",0.7,3.4,"=ROUND(PRODUCT(F22, G22), 2)",0,0,"=SUM(H22, I22, J22)",Ford Edge 2018,Business,Local travel for rental property business services
08/29/2025 17:52,08/29/2025 18:01,Business,"750 Cascadilla St, Ithaca, NY, 14850, United States","614 S Meadow St, Ithaca, NY, 14850, United States",0.7,1.1,"=ROUND(PRODUCT(F23, G23), 2)",0,0,"=SUM(H23, I23, J23)",Ford Edge 2018,Business,Travel to purchase supplies/materials for rental properties
08/29/2025 18:35,08/29/2025 18:39,Business,"614 S Meadow St, Ithaca, NY, 14850, United States","130 Fairgrounds Memorial Pkwy, Ithaca, NY, 14850, United States",0.7,0.5,"=ROUND(PRODUCT(F24, G24), 2)",0,0,"=SUM(H24, I24, J24)",Ford Edge 2018,Business,Business travel for short-term rental property management
08/29/2025 19:02,08/29/2025 19:25,Business,"130 Fairgrounds Memorial Pkwy, Ithaca, NY, 14850, United States","77 W Main St, Trumansburg, NY, 14886, United States",0.7,12.8,"=ROUND(PRODUCT(F25, G25), 2)",0,0,"=SUM(H25, I25, J25)",Ford Edge 2018,Business,Travel to rental property for guest services/maintenance
08/30/2025 12:40,08/30/2025 13:04,Business,"67 W Main St, Trumansburg, NY, 14886, United States","3545 NY-79, Burdett, NY, 14818, United States",0.7,15.5,"=ROUND(PRODUCT(F26, G26), 2)",0,0,"=SUM(H26, I26, J26)",Ford Edge 2018,Business,Travel for rental property maintenance/services
08/30/2025 14:27,08/30/2025 14:31,Business,"3857 Marcia Ln, Burdett, NY, 14818, United States","3825 Main St, Burdett, NY, 14818, United States",0.7,0.9,"=ROUND(PRODUCT(F27, G27), 2)",0,0,"=SUM(H27, I27, J27)",Ford Edge 2018,Business,Travel for rental property maintenance or contractor coordination
08/30/2025 14:52,08/30/2025 15:10,Business,"3825 Main St, Burdett, NY, 14818, United States","79 W Main St, Trumansburg, NY, 14886, United States",0.7,14.5,"=ROUND(PRODUCT(F28, G28), 2)",0,0,"=SUM(H28, I28, J28)",Ford Edge 2018,Business,Travel to rental property for business operations
08/30/2025 17:20,08/30/2025 17:38,Business,"77 W Main St, Trumansburg, NY, 14886, United States","79 W Main St, Trumansburg, NY, 14886, United States",0.7,11.9,"=ROUND(PRODUCT(F29, G29), 2)",0,0,"=SUM(H29, I29, J29)",Ford Edge 2018,Business,Travel to rental property for business operations
08/31/2025 09:06,08/31/2025 09:28,Business,"77 W Main St, Trumansburg, NY, 14886, United States","410 Elmira Rd, Ithaca, NY, 14850, United States",0.7,13.1,"=ROUND(PRODUCT(F30, G30), 2)",0,0,"=SUM(H30, I30, J30)",Ford Edge 2018,Errand/Supplies,Travel to purchase supplies for rental property
08/31/2025 10:31,08/31/2025 10:32,Business,"410 Elmira Rd, Ithaca, NY, 14850, United States","748 S Meadow St, Ithaca, NY, 14850, United States",0.7,1.1,"=ROUND(PRODUCT(F31, G31), 2)",0,0,"=SUM(H31, I31, J31)",Ford Edge 2018,Errand/Supplies,Multi-stop supply run for rental property maintenance
08/31/2025 10:57,08/31/2025 10:59,Business,"748 S Meadow St, Ithaca, NY, 14850, United States","614 S Meadow St, Ithaca, NY, 14850, United States",0.7,0.6,"=ROUND(PRODUCT(F32, G32), 2)",0,0,"=SUM(H32, I32, J32)",Ford Edge 2018,Errand/Supplies,Multi-stop supply run for rental property maintenance
08/31/2025 11:15,08/31/2025 11:22,Business,"614 S Meadow St, Ithaca, NY, 14850, United States","401 Hancock St, Ithaca, NY, 14850, United States",0.7,1.2,"=ROUND(PRODUCT(F33, G33), 2)",0,0,"=SUM(H33, I33, J33)",Ford Edge 2018,Business,Business errands for rental property operations
08/31/2025 13:04,08/31/2025 13:16,Business,"632 W Buffalo St, Ithaca, NY, 14850, United States","1901 Trumansburg Rd, Trumansburg, NY, 14886, United States",0.7,7.8,"=ROUND(PRODUCT(F34, G34), 2)",0,0,"=SUM(H34, I34, J34)",Ford Edge 2018,Business,Business travel for short-term rental property management
08/31/2025 13:24,08/31/2025 13:31,Business,"1901 Trumansburg Rd, Trumansburg, NY, 14886, United States","79 W Main St, Trumansburg, NY, 14886, United States",0.7,3.4,"=ROUND(PRODUCT(F35, G35), 2)",0,0,"=SUM(H35, I35, J35)",Ford Edge 2018,Errand/Supplies,Local travel for rental property management
Totals,,,,,,=SUM(G11:G35),=SUM(H11:H35),=SUM(I11:I35),=SUM(J11:J35),=SUM(K11:K35)

Report created at MileIQ.com


"* For an IRS compliant log, these are required for every drive."
